participant_ID,program_ID,program_providence,have_no_demo_data,have_pre_survey_data,have_post_survey_data,has_grade,race,gender,English,Mathematics,Science,STAR_BOY_Math_ScaledScore,STAR_MOY_Math_ScaledScore,STAR_EOY_Math_ScaledScore,standardized_bos,has_standardized_score,standardized_but_no_grade,grade_but_no_standardized,LEP,SP,DaysEnrolled14/15,English15/16,Math15/16,Science15/16,Standardized_Bos 15/16
8216,8,1,0,1,1,0,Black,F,2,3,2,771,800,848,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9217,9,1,0,1,1,0,Hispanic,F,2.5,1,1,519,549,601,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9218,9,1,0,1,1,0,Black,F,3,4,4,779,828,845,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9219,9,1,0,1,1,0,Hispanic,M,3,3,3,719,712,707,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9220,9,1,0,0,1,1,Hispanic,F,2,NA,1,638,619,586,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9221,9,1,0,1,1,0,Hispanic,M,0,0.5,2,810,825,838,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9224,9,1,0,1,1,0,Hispanic,F,1.5,2,1,788,749,626,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9228,9,1,0,1,1,0,Hispanic,F,2,4,4,893,848,815,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9229,9,1,0,1,1,0,Black,F,4,2,3,712,711,707,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9235,9,1,0,1,1,1,Asian,M,NA,0,NA,661,638,618,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9239,9,1,0,1,1,0,Hispanic,F,3.5,2.5,3,716,686,729,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9240,9,1,0,1,1,1,Asian,F,NA,1.5,2,716,657,708,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9241,9,1,0,1,1,0,Hispanic,F,4,4,4,876,886,903,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9242,9,1,0,1,1,0,Hispanic,M,3,4,4,820,770,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
9244,9,1,0,1,1,0,Black,F,2,1.5,2,714,710,664,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
